2019-04-21 18:37:19 [scrapy.utils.log] INFO: Scrapy 1.5.2 started (bot: mafengwoSpider)
2019-04-21 18:37:19 [scrapy.utils.log] INFO: Versions: lxml 4.3.2.0, libxml2 2.9.9, cssselect 1.0.3, parsel 1.5.1, w3lib 1.20.0, Twisted 18.9.0, Python 3.6.8 |Anaconda, Inc.| (default, Dec 30 2018, 01:22:34) - [GCC 7.3.0], pyOpenSSL 19.0.0 (OpenSSL 1.1.1b  26 Feb 2019), cryptography 2.6.1, Platform Linux-4.8.0-36-generic-x86_64-with-debian-stretch-sid
2019-04-21 18:37:19 [scrapy.crawler] INFO: Overridden settings: {'BOT_NAME': 'mafengwoSpider', 'DOWNLOAD_DELAY': 1, 'NEWSPIDER_MODULE': 'mafengwoSpider.spiders', 'SPIDER_MODULES': ['mafengwoSpider.spiders'], 'USER_AGENT': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36'}
2019-04-21 18:37:19 [scrapy.extensions.telnet] INFO: Telnet Password: 440c7cc621dd4b05
2019-04-21 18:37:19 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
2019-04-21 18:37:19 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2019-04-21 18:37:19 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2019-04-21 18:37:19 [scrapy.middleware] INFO: Enabled item pipelines:
['mafengwoSpider.pipelines.MafengwospiderPipeline']
2019-04-21 18:37:19 [scrapy.core.engine] INFO: Spider opened
2019-04-21 18:37:19 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2019-04-21 18:37:19 [scrapy.extensions.telnet] DEBUG: Telnet console listening on 127.0.0.1:6023
2019-04-21 18:37:19 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/> (referer: None)
2019-04-21 18:37:20 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/12711.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:21 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/16215.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:23 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/12720.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:24 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/12967.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:25 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/14407.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:25 [scrapy.dupefilters] DEBUG: Filtered duplicate request: <GET http://www.mafengwo.cn/jd/17920/gonglve.html> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
2019-04-21 18:37:26 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/15508.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/12719.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/14731.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:31 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/13732.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:31 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/13033.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:32 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/12976.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:34 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/31808.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:35 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/14103.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:35 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/12700.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:36 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/12810.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:38 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/14674.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET http://www.mafengwo.cn/mdd/citylist/14387.html> (referer: http://www.mafengwo.cn/mdd/)
2019-04-21 18:37:41 [scrapy.core.engine] DEBUG: Crawled (200) <POST http://www.mafengwo.cn/mdd/base/list/pagedata_citylist> (referer: http://www.mafengwo.cn/mdd/citylist/12711.html)
2019-04-21 18:37:41 [scrapy.core.engine] DEBUG: Crawled (200) <POST http://www.mafengwo.cn/mdd/base/list/pagedata_citylist> (referer: http://www.mafengwo.cn/mdd/citylist/16215.html)
